Timestamp,Gender,Coffee_Temp,Days_Coffee_Consumed,Coffee_Consumed
4/15/2025 10:19:16,Female,Iced,5,5
4/15/2025 10:19:30,Female,Iced,3,3
4/15/2025 10:19:43,Female,Hot,5,6
4/15/2025 10:20:06,Male,Iced,4,4
4/15/2025 10:20:25,Female,Iced,6,6
4/15/2025 10:20:40,Female,Hot,4,4
4/15/2025 10:20:57,Male,Hot,5,5
4/15/2025 10:21:10,Female,Hot,7,7
4/15/2025 10:21:23,Female,Iced,5,10
4/15/2025 10:21:26,Female,Hot,5,5
4/15/2025 10:21:34,Female,Iced,2,3
4/15/2025 10:21:37,Female,Hot,7,7
4/15/2025 10:21:51,Female,Iced,4,7
4/15/2025 10:21:57,Male,Hot,7,7
4/15/2025 10:22:01,Female,Iced,6,13
4/15/2025 10:22:11,Female,Iced,6,12
4/15/2025 10:22:14,Female,Hot,7,7
4/15/2025 10:22:21,Female,Iced,5,7
4/15/2025 10:22:30,Female,Iced,6,15
4/15/2025 10:22:33,Male,Hot,7,9
4/15/2025 10:22:42,Female,Iced,5,6
4/15/2025 10:22:48,Female,Hot,5,7
4/15/2025 10:22:52,Female,Iced,6,12
4/15/2025 10:22:59,Female,Hot,7,7
4/15/2025 10:23:02,Female,Iced,5,5
4/15/2025 10:23:13,Male,Hot,7,7
4/15/2025 10:23:29,Female,Iced,5,7
4/15/2025 10:23:40,Female,Hot,4,4
4/15/2025 10:24:01,Female,Hot,7,8
4/15/2025 10:24:16,Male,Hot,7,10
4/15/2025 10:24:33,Female,Hot,4,4
4/15/2025 10:24:48,Female,Iced,7,7
4/15/2025 10:26:25,Female,Iced,7,12
4/15/2025 10:26:36,Female,Iced,7,16
4/15/2025 10:41:37,Male,Hot,7,9
4/15/2025 10:42:07,Female,Hot,7,7
4/15/2025 10:42:19,Male,Hot,7,7
4/15/2025 10:42:35,Female,Hot,5,5
4/15/2025 10:42:46,Female,Iced,4,4
4/15/2025 10:59:17,Male,,5,8
4/15/2025 10:59:34,Female,Hot,5,5
4/15/2025 11:37:59,Female,Hot,3,3
4/15/2025 11:38:11,Male,Hot,5,5
4/15/2025 11:38:23,Male,Hot,7,7
4/15/2025 11:38:35,Female,Hot,5,5
4/15/2025 13:39:01,Female,Iced,7,7
4/15/2025 14:57:35,Male,Hot,7,7
4/15/2025 14:57:57,Male,Hot,6,9
4/15/2025 14:58:18,Female,Iced,4,6
4/15/2025 14:58:34,Female,Iced,7,7
4/15/2025 14:58:52,Female,Hot,7,7
4/15/2025 15:41:09,Male,Hot,7,9
4/15/2025 15:41:30,Male,Iced,7,7
4/15/2025 15:41:47,Female,Iced,7,7
4/15/2025 15:42:09,Male,Hot,3,3
4/15/2025 15:42:24,Male,Hot,7,10
4/15/2025 15:42:45,Female,Hot,6,8
4/15/2025 15:43:04,Female,Iced,5,8
4/15/2025 15:43:22,Female,Hot,7,7
4/15/2025 15:43:44,Male,Hot,7,14
